taxon_name,firstapp_max_ma,lastapp_min_ma
Zhuchengtitan zangjiazhuangensis,83.6,72.1
Tapuiasaurus macedoi,125,113
Lohuecotitan pandafilandi,83.5,66
Garrigatitan meridionalis,83.5,70.6
Ampelosaurus atacis,83.5,66
Lirainosaurus astibiae,83.5,66
Atsinganosaurus velauciensis,83.5,70.6
Mansourasaurus shahinae,83.5,70.6
Sarmientosaurus musacchioi,100.5,89.8
Savannasaurus elliottorum,100.5,89.3
Australotitan cooperensis,99.6,89.3
Diamantinasaurus matildae,99.6,89.3
Rapetosaurus krausei,72.1,66
Isisaurus colberti,72.1,66
Argentinosaurus huinculensis,99.6,89.8
Notocolossus gonzalezparejasi,89.3,83.5
Maxakalisaurus topai,83.5,66
Muyelensaurus pecheni,89.3,83.5
Bravasaurus arrierosorum,83.6,66
Rinconsaurus caudamirus,86.3,83.6
Punatitan coughlini,83.6,66
Adamantisaurus mezzalirai,83.5,66
Uberabatitan ribeiroi,72.1,66
Overosaurus paradasorum,86.3,83.6
Pitekunsaurus macayai,83.5,70.6
Brasilotitan nemophagus,83.5,66
Arrudatitan maximus,83.5,66
Futalognkosaurus dukei,93.5,85.8
Quetecsaurus rusconii,93.5,89.3
Mendozasaurus neguyelap,89.3,85.8
Austroposeidon magnificus,83.5,66
Drusilasaura deseadensis,99.6,89.3
Traukutitan eocaudata,86.3,83.6
Puertasaurus reuili,83.6,66
Panamericansaurus schroederi,83.5,66
Gondwanatitan faustoi,83.5,66
Caieiria allocaudata,70.6,66
Aeolosaurus rionegrinus,83.5,66
Aeolosaurus colhuehuapensis,83.6,66
Baurutitan britoi,72.1,66
Menucocelsior arriagadai,83.5,66
Dreadnoughtus schrani,83.6,66
Nullotitan glaciaris,83.5,66
Antarctosaurus wichmannianus,83.5,66
Volgatitan simbirskiensis,136.4,130
Malawisaurus dixeyi,125,113
Atacamatitan chilensis,100.5,66
Elaltitan lilloi,89.8,86.3
Quaesitosaurus orientalis,83.5,70.6
Qingxiusaurus youjiangensis,100.5,66
Paralititan stromeri,99.6,93.5
Pellegrinisaurus powelli,83.5,70.6
Kaijutitan maui,89.3,85.8
Arackar licanantay,83.6,66
Laplatasaurus araukanicus,83.5,70.6
Narambuenatitan palomoi,83.5,70.6
Aegyptosaurus baharijensis,145,93.5
Maojandino alami,70.6,66
Marisaurus jeffi,70.6,66
Balochisaurus malkani,70.6,66
Petrobrasaurus puestohernandezi,89.3,83.5
Baotianmansaurus henanensis,93.5,70.6
Karongasaurus gittelmani,125,113
Titanosaurus blanfordi,72.1,66
Liubangosaurus hei,125,113
Wintonotitan wattsi,100.5,89.3
Australodocus bohetii,152.1,145
Europatitan eastwoodi,130,122.46
Austrosaurus mckillopi,105.3,99.6
Vouivria damparisensis,161.2,155.7
Abydosaurus mcintoshi,99.6,93.5
Soriatitan golmayensis,136.4,125.45
Sonorasaurus thompsoni,105.3,93.5
Brachiosaurus altithorax,157.3,145
Giraffatitan brancai,163.5,145
Brachiosaurus (Giraffatitan) brancai,,
Cedarosaurus weiskopfae,139.8,109
Lusotitan atalaiensis,155.7,145
Galvesaurus herreroi,155.7,145
Venenosaurus dicrocei,125,113
Fushanosaurus qitaiensis,163.5,157.3
Iuticosaurus lydekkeri,,
Ornithopsis hulkei,136.4,122.46
Liaoningotitan sinensis,130,122.46
Duriatitan humerocristatus,157.3,139.8
Pelorosaurus conybeari,140.2,130
Pelorosaurus praecursor,,
Oceanotitan dantasi,155.7,150.8
Fukuititan nipponensis,125,113
Dashanpusaurus dongi,170.3,157.3
Daanosaurus zhangi,157.3,145
Aragosaurus ischiaticus,157.3,145
Atlasaurus imelakei,168.3,166.1
Lourinhasaurus alenquerensis,155.7,145
Camarasaurus lentus,157.3,145
Morosaurus marchei,155.7,150.8
Camarasaurus lewisi,157.3,152.1
Camarasaurus supremus,157.3,145
